Category|Title|Snippet
Politics|Our readers reveal how they'll have their last fling with the EU|Summary: British citizens will no longer be EU citizens from 31 January if the withdrawal agreement Boris Johnson sealed in October is ratified. But Brexit day …
Business|40% rise in public companies opting to leave stock exchange|The number of publicly listed companies opting to leave the stock exchange and become private firms soared 40% last year, figures show. According to p …
Sport|Bushfire haze in Melbourne casts doubt on Australian Open starting on time|Less than a fortnight before the start of the Australian Open, Melbourne lies under a thickening blanket of bushfire haze, and air quality has been do …
Sport|David Stern's complex legacy is worthy of high respect and close inspection|The passing of longtime NBA commissioner David Stern has prompted impassioned reactions in basketball circles over the past week. On one hand, Stern w …
Sport|Talking Horses: why a five-day Cheltenham Festival is a terrible idea|Summary: If you enjoy a thing, it’s only natural to want more of it, as those of us who have done extremely well at the trough in the past fortnight are keenly …
Politics|How did you overcome your Brexit family fallouts?|The 2016 EU referendum result threw families, friends and couples into bitter conflict. As Brexit finally arrives, we want to hear from people who man …
Politics|Dominic Cummings not allowed to directly hire civil servants – No 10|Boris Johnson’s chief adviser, Dominic Cummings, will not be allowed to bypass Whitehall’s usual recruitment processes when recruiting “weirdos” and “ …
Politics|Northern Ireland firms could seek £100m Brexit compensation|Boris Johnson is facing demands for cash compensation that could run to more than £100m for any disruption caused by Brexit to Northern Ireland’s busi …
Sport|Stokes’s brutal second Test batting cameo lays down marker for 2020|Ben Stokes missed the start of this tour to make sure he could pick up the BBC’s Sports Personality of the Year award in person after a stellar 2019. …
Business|Oil hits $70 and stocks slide as US-Iran tensions rise – as it happened|And finally, European stock markets have closed in the red, although they did recover some of their losses. The FTSE 100 ended 47 points lower at 7,57 …
Politics|Labour leadership: NEC decides contest to last three months, with result announced Saturday 4 April – as it happened|Summary: Labour’s new leader and deputy leader will be announced at a special conference on 4 April, with prospective supporters given a 48-hour window next we …
Sport|Dean Elgar: ‘I wouldn’t waste a referral knowing that I’d nicked it’|Dean Elgar has risked the wrath of the International Cricket Council by openly questioning his controversial dismissal on the fourth day of the second …
Politics|Nicky Morgan to keep retiring MP payment despite role in Lords|Nicky Morgan, the culture secretary who stood down as an MP only to be elevated weeks later to the House of Lords, is planning to keep an £8,400 payme …
Politics|Labour leadership contenders urged to oppose clear-out of staff members|Labour’s main leadership contenders have been urged to join calls for a halt to a party reorganisation that would result in multiple sackings of party …
Business|Renewables beat fossil fuels on 137 days in greenest year for UK energy|Energy produced by the UK’s renewable sector outpaced fossil fuel plants on a record 137 days in 2019 to help the country’s energy system record its g …
Politics|Labour must ditch 'ideological purity', says Rosena Allin-Khan|Labour must move past the factionalism and “ideological purity” that has alienated voters across the country, the shadow minister Rosena Allin-Khan ha …
Politics|Brexit weekly briefing: UK counts down to 31 January departure|Welcome to the Guardian’s weekly Brexit briefing. If you’d like to receive this as a weekly email, sign up here. You can catch our latest Brexit Means …
Sport|Rory Burns to miss England’s tour of Sri Lanka after ankle surgery|Rory Burns will miss England’s tour of Sri Lanka in March after the opener was ruled out for up to four months following surgery on his left ankle. Bu …
Sport|Jimmy Anderson's records pile up but he is still in Sydney Barnes's shadow|When The Spin scours statistics to help rank our cricketers in end-of-the-decade lists or posthumous tributes, occasionally there are still records th …
Business|High street crisis: which big names closed stores in the past year?|It was another torrid year for Britain’s retail industry. Thousands of high street jobs were lost in 2019 as a number of major retailers or restaurant …
Politics|No 10 to scrap plans for Whitehall shake-up as it vows to cut waste|Downing Street is likely to abandon ambitious plans to reshape or merge a series of ministerial departments, and will instead focus on more traditiona …
Business|IMF boss says raise taxes on the rich to tackle inequality|Raising income tax on the wealthy will help close the growing gap between rich and poor and can be done without harming growth, the head of the Intern …
Politics|Long-Bailey scores Corbyn '10 out of 10' as she launches campaign|Rebecca Long-Bailey has said Jeremy Corbyn scored “10 out of 10” as leader of the Labour party as she kicked off her campaign to succeed him. The shad …
Business|US trade deficit hits three-year low; Rolls-Royce record sales - as it happened|Finally, here’s Reuters’ take on the US trade figures: The U.S. trade deficit fell to a more than three-year low in November as imports declined furth …
Politics|Scotland to introduce emergency measures as Javid postpones budget|The Scottish parliament is to introduce an emergency budget process, after the chancellor postponed the UK budget until mid-March. Derek Mackay, the S …
Business|Woodford and partner took £13.8m dividend in run-up to fund crisis|Summary: Neil Woodford and his business partner took £13.8m in dividends last year from their investment management company months before the implosion of its …
Politics|Parliament returns and Tory majority gives idiots licence to be idiots|Boris Johnson rolled over in bed and groaned. It was hard to know which was worse. The sunburn or the jet lag. He closed his eyes, willing himself bac …
Business|High street crisis deepens as 3,150 staff lose jobs in a week|Mothercare and Links of London will disappear from UK high streets this week as 94 stores close their doors for good, resulting in 3,150 job losses. A …
Business|Woodford fund debacle shows an investment industry high on hubris|Summary: Surprise, surprise. Neil Woodford, a fund manager who saw no problem in charging £60,000-a-day fees on a fund that was suspended, also thought it acce …
Business|US trade deficit falls to three-year low in wake of China standoff|Summary: The gap between US imports and exports shrank to its lowest level in three years in November following a 15% decline in the country’s annual trade def …
Sport|Ben Stokes dedicates England heroics against South Africa to stricken father|Ben Stokes has dedicated his match-winning performance in the second Test against South Africa to his stricken father, who kept tabs on England’s seri …
Sport|ICC plan to end five-day Tests would remove all that is best about cricket|No. No. No. And also: no. Not even: no thanks. Not later or maybe or let’s see. This is simply a hard, flat no. And indeed an angry and reproachful no …
Politics|Lisa Nandy and Jess Phillips tell Labour: we must change to survive|Labour leadership candidates Lisa Nandy and Jess Phillips won applause from MPs at a hustings for warning that a serious change of course is needed fo …
Politics|Keir Starmer and Lord Dubs urge Tory MPs to rebel over child refugees|Labour has urged Conservative MPs to defy the government and vote to restore a commitment to family reunion for child refugees in Brexit legislation, …
Business|Why Iran crisis is unlikely to hit US consumers hard at the gas pumps|For many older Americans the thought of war in the Middle East will trigger memories of soaring gas prices and long lines at the pumps. But as US rela …
Politics|Dominic Raab says Iran missile strikes 'reckless and dangerous'|Britain has urged Iran not to repeat what the foreign secretary, Dominic Raab, described as “reckless and dangerous” attacks after missiles were fired …
Business|Carlos Ghosn to make first public appearance since Japan escape|Carlos Ghosn is to make his first public appearance since his extraordinary escape from Japan, where he faced charges of financial misconduct while ch …
Sport|Talking Horses: BHA urges vigilance as anniversary of 'Flu Day' approaches|Almost exactly 11 months ago, on 7 February 2019, racing woke up to the news that ‘everything’s off’. Three horses in Donald McCain’s yard, all of whi …
Business|Carlos Ghosn's wife says his escape from Japan was 'beautiful surprise'|Carole Ghosn, the wife of the fugitive former Nissan boss Carlos Ghosn, has insisted she had no idea about his plan to flee Japan and was surprised wh …
Business|Argos toys slump dents Sainsbury’s Christmas sales|Poor sales of toys and video games dented the performance of Argos over the Christmas period, the chain’s owner, Sainsbury’s, saying nervous shoppers …
Politics|Keir Starmer’s Labour leadership bid wins backing of MPs and Unison|Summary: Keir Starmer’s Labour leadership campaign has received a boost after he won the backing of the UK’s biggest trade union, Unison, and became the first …
Business|Carlos Ghosn insists he is innocent over fraud charge 'plot' – business live|A late markets newsflash. The oil price is sliding, and shares are jumping on Wall Street, after Donald Trump spoke about the Iran crisis. The US pres …
Politics|Labour leadership contest: Boost for Starmer's campaign as he gets Unison's backing – as it happened|Ursula von der Leyen, the president of the European commission, has said it will be “impossible” for the UK to negotiate a comprehensive deal covering …
Business|'A kind of nightmare': Carlos Ghosn's press conference – key points|Carlos Ghosn, the former Renault-Nissan chair, made his long-awaited appearance before the world’s media on Wednesday at a lengthy and often rambling …
Sport|England may unleash Leach to put extra spin on Root’s treasured win|There is relief as well as jubilation for England. After four matches Chris Silverwood has now overseen a Test victory. It is Joe Root’s 18th win as c …
Politics|Johnson's first meeting with Von der Leyen lays trade deal faultlines bare|If the European School in the leafy Uccle suburb of Brussels teaches its high-flying pupils anything, it is how to be diplomatic. It came as little su …
Business|Amid the fury and bombast, Ghosn’s case deserves proper examination|Summary: Carlos Ghosn, live from Lebanon, put on an entertaining show. There was bombast, arm-waving and undisguised fury. “My unimaginable ordeal is the resul …
Business|How the oil industry has spent billions to control the climate change conversation|America’s oil companies are trying to rebrand themselves as part of the solution to the climate crisis, launching a campaign to counter top Democrats’ …
Sport|Rob Burrow reveals doctor’s positive motor neurone disease outlook|Rob Burrow has revealed he has been told he has “very early stage” motor neurone disease but is hopeful he can live for another decade. The former Lee …
Business|Calls for Whirlpool to refund 500,000 buyers of fire-risk appliances|Whirlpool should offer the owners of more than half a million recalled washing machines the option of a refund alongside a repair or replacement, acco …
Politics|Barry Gardiner shocks Labour with hint he may run for leadership|Barry Gardiner, the shadow international trade secretary, has said he is considering running for Labour party leader, in a shock announcement made jus …
Sport|How Ryan Tannehill dragged himself – and the Titans – into playoff relevance|When the Tennessee Titans face the Baltimore Ravens in Saturday’s divisional round of the NFL playoffs, one quarterback will take the field and stick …
Sport|Doctor, sailor, Super Bowl contender: Laurent Duvernay-Tardif's extraordinary career|Summary: Draft night follows a familiar pattern for most players as they wait to be picked for their first NFL team out of college. There’s the nervous lead up …
Sport|Max Verstappen’s decision suggests F1 title tilt from Red Bull and Honda|Just days into the new year, with many good intentions already falling by the wayside, Max Verstappen has displayed the boldest of resolve. The Dutchm …
Sport|Six sixes in an over, finish-line drama and a slalom close call|Summary: 1) Let’s start with a bang, as Leo Carter slams six sixes in an over for Canterbury Kings against Northern Knights in the T20 Super Smash, on his way …
Business|Northern rail franchise could collapse within months, says Shapps|The troubled Northern rail franchise faces financial collapse within months, the transport secretary has said, as the government set out a timetable t …
Politics|Boris Johnson urges Iran president to end military action|Summary: Boris Johnson has spoken to Iran’s president, Hassan Rouhani, to urge an end to further military retaliation in the region, amid efforts to try to de- …
Business|Tesco sales win out in subdued Christmas for UK supermarkets|Tesco has emerged as one of the winners from a lacklustre Christmas for Britain’s biggest supermarket chains. The festive season is usually a boom tim …
Business|Willie Walsh: the pilot who landed the BA top job|One of aviation’s most compelling characters is heading into the departures lounge, with the imminent retirement of Willie Walsh at 58. The Internatio …
Politics|Brexit 'deepening inequalities among UK nationals in France'|Brexit is already deepening inequalities among British nationals in France, with some losing rights due to varying levels of Brexit preparedness among …
Politics|Thornberry gives Corbyn '0 out of 10' for election performance|The Labour leadership candidate Emily Thornberry has given Jeremy Corbyn “0 out of 10” for his performance during the general election. The shadow for …
Business|Carlos Ghosn issued travel ban in Lebanon after Interpol red notice|Japan has hit back at Carlos Ghosn after the former Nissan boss’s criticisms of the country’s justice system after his dramatic escape to Lebanon, as …
Business|Rail operators pay 16% more compensation claims for lateness|Rail operators paid out more than 1.2m compensation claims over late trains last summer, a 16% increase compared to the previous year, as networks beg …
Politics|Labour leadership: Thornberry gives Corbyn '0 out of 10' for election, but '10 out of 10' for principle - as it happened|The Labour leadership candidate Emily Thornberry has given Jeremy Corbyn “0 out of 10” for his performance during the general election. Record numbers …
Politics|Brexit department ends – not with a bang but airbrushed out|From 31 January any mention of the word Brexit will officially be punishable by death. Anyone who is even suspected of thinking about Brexit will be c …
Business|Wall Street hits record highs; UK rate cut hint hurts pound - as it happened|Time for a recap Stocks on Wall Street have hit a fresh record high today, on signs that the US and Iran are de-escalating their conflict. Tech stocks …
Politics|Labour leadership: Long-Bailey, Nandy and Phillips win backing|Three more Labour leadership candidates – Rebecca Long-Bailey, Jess Phillips and Lisa Nandy – have joined Keir Starmer in securing enough nominations …
Business|Liberty Steel and Hitachi Rail plan to cut up to 505 jobs in UK|Summary: The UK’s manufacturing sector has suffered a double blow after Liberty Steel and the rolling stock manufacturer Hitachi announced job cuts affecting u …
Business|Marks & Spencer feels the squeeze as focus on skinny jeans fails to fire|After an era where skinny jeans ruled supreme, men’s trouser styles are becoming more relaxed and unstructured, with oversized fits becoming de rigueu …
Politics|Boris Johnson’s Brexit bill heads for Lords after MPs’ vote|Boris Johnson’s Brexit bill cleared the House of Commons on Thursday in a major milestone that means the UK is on track to leave the EU on 31 January. …
Sport|Tim Henman backs Dan Evans to build on ATP Cup displays despite GB exit|Summary: Dan Evans, Cameron Norrie, Jamie Murray and Joe Salisbury left Sydney with heroics to cherish and bruises to heal. But Tim Henman, their part-time mus …
Sport|Andrew Strauss believes five-day Tests should stay unless case compels|Andrew Strauss has insisted there must be an overwhelming case for the proposed switch to four-day Test cricket or it should not occur. The former Eng …
Politics|MoD mistakes led to Trident upkeep costs rising by £1.35bn|The cost of maintaining three nuclear sites spiralled by £1.35bn because of poor management by the Ministry of Defence (MoD), Whitehall’s watchdog has …
Business|The Christmas retail winners and losers|Summary: The traditionally lucrative Christmas trading period was a washout for many of Britain’s retailers in 2019 with more losers than winners emerging from …
Politics|Jess Phillips: people would pay more tax for decent social care|The Labour leadership candidate Jess Phillips says she believes the public is prepared to pay more tax to get an NHS-style social care system that loo …
Sport|Champions Cup preview: Exeter’s Hogg heads to Glasgow to meet former club|Pool One Leinster are already guaranteed to finish top of the pool and their focus is on securing a home draw in the quarter-finals with two points se …
Business|Just Eat and Takeaway.com cleared to form £6.2bn food courier giant|Shareholders in Just Eat have given the green light to a £6.2bn merger with Dutch food delivery firm Takeaway.com, which will create one of the larges …
Sport|London Marathon winner Wilson Kipsang to face anti-doping hearing|Summary: The two-times London Marathon winner Wilson Kipsang has been provisionally suspended for whereabouts failures and tampering with samples, the Athletic …
Politics|Northern Ireland assembly to sit on Saturday after three years|Summary: Northern Ireland’s main political parties have agreed to a deal that will lead to the restoration of the power-sharing government in the region follow …
Sport|Bryony Frost: ‘When you connect with your horse it’s a magic place to be’|If there is a gene for positivity, Bryony Frost has it twice. “It’s a long way off if you look at the top of the mountain sometimes,” she said this we …
Sport|Ellie Simmonds: ‘Going into Rio, swimming for me had been life or death’|“A lot of the time, when I swim, I close my eyes because it is definitely lonely,” Ellie Simmonds says as she considers the emotional, physical and ps …
Politics|Long-Bailey calls on Momentum to back Angela Rayner for deputy|The Labour leadership contender Rebecca Long-Bailey has written to leading figures in Momentum, urging the leftwing campaign group to throw its weight …
Politics|Thousands of independence supporters march in Glasgow|Thousands of independence supporters have begun marching through the streets of Glasgow. The march is the first of eight planned for 2020 by the grass …
Sport|ATP Cup semi-final: Spain beat Australia – as it happened!|And with that, we’ll wrap it up for the night. It’s 11:15pm local time. Thanks for your company throughout the day. Focus now shifts to Sunday’s final …
Politics|Brexit deal: EU may threaten 'to block' City's access to its markets|Summary: The EU will be unashamedly “political” and block the City of London’s access to European markets if Boris Johnson tries to exempt the UK from its laws …
Sport|Saracens shrug off Rhys Carré red card for comeback win against Ospreys|Saracens are never more up than when they are down. It has been a season when adversity has challenged the English and European champions remorselessl …
Politics|Fan of Trump and Farage raises far-right ‘Q’ flag at his Cornish castle|A key supporter of Nigel Farage and Donald Trump has provoked ridicule after using his Cornish castle to fly the flag of a prominent conspiracy theory …
Politics|Gina Miller: ‘How do we preserve Britain as a tolerant place?’|Summary: The justice campaigner Gina Miller won two landmark legal victories that forced the government to be accountable to parliament over Brexit. Her autobi …
Politics|Scottish Labour turn down leader's federal UK strategy|Summary: Scottish Labour’s executive has rejected its leader’s proposals for a special conference on federalism, which could have seen it support a multi-optio …
Sport|England bank on youth but Jimmy Anderson’s absence is a huge loss|England’s average age continues to plummet in the absence of Jimmy Anderson. At Port Elizabeth on Thursday, the team will hover around 26 years with t …
Politics|Jeremy Corbyn: Iran has 'no excuses' for shooting down airliner|Summary: Labour leader Jeremy Corbyn has told a rally in London that the shooting down of a passenger plane in Tehran was an “appalling act” for which there ca …
Politics|Keir Starmer’s team are confident – but expect a rival’s surge|Everything about Keir Starmer’s leadership campaign to date suggests it has been long in the planning. Fifty-seven years and four months ago his late …
Sport|Roger Federer responds to climate crisis criticism from Greta Thunberg|Roger Federer has issued a cautiously worded response to mounting criticism, including from climate activist Greta Thunberg, over his sponsorship deal …
Politics|There’s a chance for change in the Middle East and Britain has a role to play|Even by the standards of the Middle East it was a remarkable week. You have to deal with what presents itself in the region – there is little point in …
Business|Johnson can now deliver a ‘Brexit in name only’. Will he?|Summary: I have occasionally referred over the years to a parody of an editorial which a group of us at the Financial Times once concocted on a slow news day. …
Politics|Labour can’t change society on its own. We have to work with other parties|History is littered with leaders and movements, now long vanished and mostly forgotten, who failed to get to the deep truths of how and why their defe …
Business|Review hammers home problems with Persimmon|At this point last year, housebuilder Persimmon had just started its most ambitious rebuilding project – constructing a new reputation for itself foll …
Politics|Whitehall needs more scientists to compete with China: chief adviser|Britain’s civil service is suffering from a serious lack of scientific talent that threatens its ability to compete with nations such as China. That i …
Politics|Rebecca Long-Bailey wants to abolish the House of Lords|Summary: The Labour leadership contender Rebecca Long-Bailey has said she wants to abolish the House of Lords and would not stand in the way of another Scottis …
Politics|'Festival of Brexit' boss says £120m event will prove cynics wrong|It has been mocked and pilloried as a “festival of Brexit”, but the newly appointed boss of the £120m nationwide celebration planned for 2022 has said …
Business|Bling up my Roller! Inside the new breed of bespoke Rolls-Royce|Rolls-Royce is cashing in on the trend for extravagantly upholstered luxury cars by producing vehicles with a range of upgrades including televisions, …
Business|UK interest rate cut looms as move backed by fifth policymaker|Momentum towards an interest cut is growing after a third member of the Bank of England’s rate-setting committee signalled that the British economy co …
Politics|Black MPs tell of being confused with other politicians|Two black female MPs have told of how they have been mistaken for other politicians and for parliamentary staff members in their first few weeks worki …
Business|Gambling watchdog plans to ban online credit card bets|Summary: The gambling industry watchdog is preparing to ban bookmakers from taking credit card deposits for betting online, in the latest move to prevent the e …
Politics|Labour leadership rivals back '10 pledges' to tackle antisemitism|Labour’s leader and deputy leadership contenders have demonstrated their commitment to tackling antisemitism in the party by backing a series of pledg …
Politics|Labour leadership hopefuls make final pitches for support|Summary: Labour MPs hoping to take over the party leadership will make their final behind-the-scenes pitches to colleagues for their support ahead of nominatio …
Sport|Exeter carry the English standard but French clubs look a real force|At first glance this year’s European Champions Cup is not noticeably awash with suspense, with four of the five pool winners plus Clermont Auvergne co …
Sport|IOC’s oppressive podium rules ignore history of legitimate Olympic protest|Some called him the Antelope. Others the King of Spring. But, above all, Peter O’Connor was a revolutionary. These days the exploits of the Irishman h …
Business|UK GDP: economy shrank in run-up to election|The UK economy shrank in November after a fall in consumer spending and a downturn in manufacturing before the election, raising pressure on the Bank …
Business|UK house sales rising after Boris Johnson's election win – Savills|The estate agent Savills has said it is benefiting from a “Boris bounce” that has driven an increase in UK house sales since the December general elec …
Politics|EU trade chief foresees 'financial services for fishing' Brexit bargain|The EU’s trade commissioner has suggested there could be a last-minute trade-off with Brussels offering the City of London access to European markets …
Politics|Five make it through to next round of Labour leadership contest|Five candidates have made it through to the next round of the Labour leadership contest – Keir Starmer, Rebecca Long-Bailey, Lisa Nandy, Jess Phillips …
